,person,name,description,abstract,birthPlaceName,lat,long,birthDate
32,http://dbpedia.org/resource/Ada_Leonard,Ada Leonard,"Ada Leonard (July 22, 1915 – November 29, 1997) was an American bandleader. She was the leader of the All-American Girl Orchestra, the first all-female band to tour with the USO during World War II. The big-band leader was a performer with a background in musical performance.","Ada Leonard (July 22, 1915 – November 29, 1997) was an American bandleader. She was the leader of the All-American Girl Orchestra, the first all-female band to tour with the USO during World War II. The big-band leader was a performer with a background in musical performance.","Lawton, Oklahoma, U.S.",34.6042,-98.3956,1915.0
33,http://dbpedia.org/resource/Adam_Bałdych,Adam Bałdych,"Adam Bałdych (born 18 May 1986 in Gorzów Wielkopolski, Poland) is a Polish violinist, composer, music producer. Baldych is ACT MUSIC (Germany) recording artist. He is known from a series of record releases and collaborations with musicians like Marius Neset, Morten Lund & Lars Danielsson.","Adam Bałdych (born 18 May 1986 in Gorzów Wielkopolski, Poland) is a Polish violinist, composer, music producer. Baldych is ACT MUSIC (Germany) recording artist. He is known from a series of record releases and collaborations with musicians like Marius Neset, Morten Lund & Lars Danielsson.",http://dbpedia.org/resource/Gorzów_Wielkopolski,52.7333,15.25,1986.0
34,http://dbpedia.org/resource/Adam_Taubitz,Adam Taubitz,"Adam Georg Taubitz (born 7 October 1967) is a German jazz and classical musician. He is perhaps best known for his work with the Berlin Philharmonic Jazz Group, which he established in 1999, and with the Aura Quartett.","Adam Georg Taubitz (born 7 October 1967) is a German jazz and classical musician. He is perhaps best known for his work with the Berlin Philharmonic Jazz Group, which he established in 1999, and with the Aura Quartett.","Chorzów, Upper Silesia, Poland",50.0,18.0,1967.0
36,http://dbpedia.org/resource/Adele_Girard,Adele Girard,"Adele Beatrice Girard Marsala (June 25, 1913 – September 7, 1993) was a jazz harpist associated with dixieland and swing music. She is the first woman to bring the concert harp to prominence in jazz, with only Casper Reardon preceding her. As a musician she is known by her birth name Adele Girard, but she became Adele Girard Marsala after marrying clarinetist Joe Marsala.","Adele Beatrice Girard Marsala (June 25, 1913 – September 7, 1993) was a jazz harpist associated with dixieland and swing music. She is the first woman to bring the concert harp to prominence in jazz, with only Casper Reardon preceding her. As a musician she is known by her birth name Adele Girard, but she became Adele Girard Marsala after marrying clarinetist Joe Marsala.","Holyoke, Massachusetts, U.S.",42.2042,-72.6167,1913.0
37,http://dbpedia.org/resource/Adelhard_Roidinger,Aderhard Roidinger,"Adelhard Roidinger (28 November 1941 in Windischgarsten) is an Austrian jazz musician (bass, electronic), composer and computer graphic designer.","Adelhard Roidinger (28 November 1941 in Windischgarsten) is an Austrian jazz musician (bass, electronic), composer and computer graphic designer.",http://dbpedia.org/resource/Upper_Austria,47.7211,14.3308,1941.0
40,http://dbpedia.org/resource/Adi_Braun,Adi Braun,"Adreana ""Adi"" Braun (born November 23, 1962) is a Canadian jazz and cabaret vocalist and composer. Adi Braun was born and brought up in Germany. Her family is musical: her parents were professional singers (her father was Victor Braun), and her brother, Russell, is also a singer. She has cited Judy Garland, Barbra Streisand, and Lotte Lenya as influences. After moving to Canada, Braun graduated in music from the University of Toronto, then became involved in the jazz scene in the city. She co-founded Blue Rider Records in the early 2000s. In English, she ""sings with a slight German accent"".","Adreana ""Adi"" Braun (born November 23, 1962) is a Canadian jazz and cabaret vocalist and composer. Adi Braun was born and brought up in Germany. Her family is musical: her parents were professional singers (her father was Victor Braun), and her brother, Russell, is also a singer. She has cited Judy Garland, Barbra Streisand, and Lotte Lenya as influences. After moving to Canada, Braun graduated in music from the University of Toronto, then became involved in the jazz scene in the city. She co-founded Blue Rider Records in the early 2000s. In English, she ""sings with a slight German accent"".","Toronto, Ontario, Canada",49.25,-84.5,1962.0
42,http://dbpedia.org/resource/Adnan_Sami,Adnan Sami,"Adnan Sami Khan (born 15 August 1971) is a Pakistani-born Indian singer, musician, music composer, and pianist. He performs Indian and Western music, including for Hindi movies. His most notable instrument is the piano. He has been credited as ""the first musician to have played the santoor & Indian classical music on the piano"". A review in the US-based Keyboard magazine described him as the fastest keyboard player in the world and called him the keyboard discovery of the nineties. In 2016 he became an Indian citizen. He was awarded the Padma Shri on 26 January 2020.","Adnan Sami Khan (born 15 August 1971) is a Pakistani-born Indian singer, musician, music composer, and pianist. He performs Indian and Western music, including for Hindi movies. His most notable instrument is the piano. He has been credited as ""the first musician to have played the santoor & Indian classical music on the piano"". A review in the US-based Keyboard magazine described him as the fastest keyboard player in the world and called him the keyboard discovery of the nineties. In 2016 he became an Indian citizen. He was awarded the Padma Shri on 26 January 2020. He was born in Lahore to Arshad Sami Khan, a Pakistani Air Force veteran and diplomat of Pashtun origin, and Naureen, who was originally from Jammu and Kashmir state. The Times of India has called him the ""Sultan of Music"".","London, England",51.5072,-0.1275,1971.0
44,http://dbpedia.org/resource/Adolfo_Guzmán,Adolfo Guzmán,"Adolfo Guzmán (May 13, 1920 – July 30, 1976) was a Cuban pianist, music director, arranger and composer. During his 40-year-long career he directed several important Cuban ensembles, including Orquesta Riverside and Los Modernistas, as well as prominent radio and cabaret orchestras.","Adolfo Guzmán (May 13, 1920 – July 30, 1976) was a Cuban pianist, music director, arranger and composer. During his 40-year-long career he directed several important Cuban ensembles, including Orquesta Riverside and Los Modernistas, as well as prominent radio and cabaret orchestras.","La Habana, Cuba",22.0,-82.3833,1920.0
48,http://dbpedia.org/resource/Adrianna_Foster,Adrianna Foster,"Adriana Gabriela Erosa Rodríguez, better known as Adrianna Foster (born 8 July 1986, Guadalajara), is a prominent Mexican singer of soul, jazz, and pop. She gained fame in 2008 with her single Pienso en ti and has been referenced as being ""the Mexican Mariah Carey."" Singer-songwriters Francisco Céspedes and José José have called her ""the Voice of Mexico"" (Spanish: La voz de México).","Adriana Gabriela Erosa Rodríguez, better known as Adrianna Foster (born 8 July 1986, Guadalajara), is a prominent Mexican singer of soul, jazz, and pop. She gained fame in 2008 with her single Pienso en ti and has been referenced as being ""the Mexican Mariah Carey."" Singer-songwriters Francisco Céspedes and José José have called her ""the Voice of Mexico"" (Spanish: La voz de México).",http://dbpedia.org/resource/Guadalajara,20.6767,-103.348,1986.0
49,http://dbpedia.org/resource/Aga_Zaryan,Aga Zaryan,"Aga Zaryan (born Agnieszka Skrzypek on January 17, 1976) is a Polish jazz vocalist and the first Polish musician to sign with Blue Note Records. Her albums have earned gold, platinum, and multi-platinum status. In 2008 and 2012 she was honored with the Fryderyk award, the Polish recording industry's most prestigious prize. She was nominated for Woman of the Year in 2008 by Gazeta Wyborcza, one of Poland's most widely circulated newspapers. From 2007 to 2018, she was named Jazz Vocalist of the Year in the annual readers' poll at Jazz Forum magazine.","Aga Zaryan (born Agnieszka Skrzypek on January 17, 1976) is a Polish jazz vocalist and the first Polish musician to sign with Blue Note Records. Her albums have earned gold, platinum, and multi-platinum status. In 2008 and 2012 she was honored with the Fryderyk award, the Polish recording industry's most prestigious prize. She was nominated for Woman of the Year in 2008 by Gazeta Wyborcza, one of Poland's most widely circulated newspapers. From 2007 to 2018, she was named Jazz Vocalist of the Year in the annual readers' poll at Jazz Forum magazine.","Warsaw, Poland",52.2333,21.0167,1976.0
50,http://dbpedia.org/resource/Ahmad_Jamal,Ahmad Jamal,"Ahmad Jamal (born Frederick Russell Jones, July 2, 1930) is an American jazz pianist, composer, bandleader, and educator. For five decades, he has been one of the most successful small-group leaders in jazz.","Ahmad Jamal (born Frederick Russell Jones, July 2, 1930) is an American jazz pianist, composer, bandleader, and educator. For five decades, he has been one of the most successful small-group leaders in jazz.","Pittsburgh, Pennsylvania, U.S.",40.4397,-79.9764,1930.0
52,http://dbpedia.org/resource/A._K._Salim,Ahmad Khatab Salim,"Ahmad Khatab Salim or Ahmad Kharab Salim (born Albert Atkinson on July 28, 1922) was an American jazz composer, and arranger.","Ahmad Khatab Salim or Ahmad Kharab Salim (born Albert Atkinson on July 28, 1922) was an American jazz composer, and arranger.","Chicago, Illinois, United States",41.8219,-87.703,1922.0
57,http://dbpedia.org/resource/Aidan_Zammit,Aidan Zammit,"Aidan Zammit is a musician from Sliema, Malta. He has lived in Italy since 1985.","Aidan Zammit is a musician from Sliema, Malta. He has lived in Italy since 1985.",http://dbpedia.org/resource/Sliema,35.9122,14.5042,1965.0
61,http://dbpedia.org/resource/Airto_Moreira,Airto Moreira,"Airto Guimorvan Moreira (born August 5, 1941) is a Brazilian jazz drummer and percussionist. He is married to jazz singer Flora Purim, and their daughter Diana Moreira is also a singer. Coming to prominence in the late 1960s as a member of the Brazilian ensemble Quarteto Novo, he moved to the United States and worked in jazz fusion with Miles Davis and Return to Forever.","Airto Guimorvan Moreira (born August 5, 1941) is a Brazilian jazz drummer and percussionist. He is married to jazz singer Flora Purim, and their daughter Diana Moreira is also a singer. Coming to prominence in the late 1960s as a member of the Brazilian ensemble Quarteto Novo, he moved to the United States and worked in jazz fusion with Miles Davis and Return to Forever.","Itaiópolis, Brazil",-26.3358,-49.9058,1941.0
62,http://dbpedia.org/resource/Ajlan_Büyükburç,Ajlan Büyükburç,Ajlan Büyükburç (13 November 1970 – 22 July 1999) was a Turkish singer.,Ajlan Büyükburç (13 November 1970 – 22 July 1999) was a Turkish singer.,"Istanbul, Turkey",41.0136,28.955,1970.0
63,http://dbpedia.org/resource/Aki_Takase,Aki Takase,"Aki Takase (高瀬 アキ) (born January 26, 1948) is a Japanese jazz pianist and composer.","Aki Takase (高瀬 アキ) (born January 26, 1948) is a Japanese jazz pianist and composer.","Osaka, Japan",34.6939,135.502,1948.0
64,http://dbpedia.org/resource/Akira_Ishikawa,Akira Ishikawa,"Akira Ishikawa (jp. 石川 晶, Ishikawa Akira; born 10 November 1934 in Yokosuka, Kanagawa Prefecture; died 10 February 2002) was a Japanese jazz drummer and bandleader. Ishikawa began his music career with Shin Matsumoto and New Pacific. In the following years he toured with his own formations like Akira Miyazawa Modern Allstars and Toshio Hosaka. In later years he played with Toshiyuki Miyama and his band New Herd; 1964/65 he did recordings with Miyamas Modern Jazz Highlights and Modern Jukebox. From the late '60s, he recorded LPs under his own name as Soul Session (1969) and The Gentures in Beat Pops (1970), with, among others, Hiromasa Suzuki, Kiyoshi Sugimoto and Masaoki Terakawa. With his band Count Buffaloes, the jazz-rock oriented album Electrum was out in 1970,  followed by Drums Conce","Akira Ishikawa (jp. 石川 晶, Ishikawa Akira; born 10 November 1934 in Yokosuka, Kanagawa Prefecture; died 10 February 2002) was a Japanese jazz drummer and bandleader. Ishikawa began his music career with Shin Matsumoto and New Pacific. In the following years he toured with his own formations like Akira Miyazawa Modern Allstars and Toshio Hosaka. In later years he played with Toshiyuki Miyama and his band New Herd; 1964/65 he did recordings with Miyamas Modern Jazz Highlights and Modern Jukebox. From the late '60s, he recorded LPs under his own name as Soul Session (1969) and The Gentures in Beat Pops (1970), with, among others, Hiromasa Suzuki, Kiyoshi Sugimoto and Masaoki Terakawa. With his band Count Buffaloes, the jazz-rock oriented album Electrum was out in 1970,  followed by Drums Concerto (1971), African Rock (1972), Uganda (1972) and Get Up! (1975). He also worked with Yoshiko Goto, Koichi Oki, Kiyoshi Sugimoto (Our Time, 1974) and Akio Sasaki (Berklee Connection, 1980) in the 1970s. In the field of jazz he was involved between 1964 and 1980 in 14 recording sessions.","Yokosuka, Kanagawa Prefecture",35.4475,139.642,1934.0
66,http://dbpedia.org/resource/Al_Caiola,Al Caiola,"Alexander Emil Caiola (September 7, 1920 – November 9, 2016) was an American guitarist, composer and arranger, who spanned a variety of music genres including jazz, country, rock, and pop. He recorded over fifty albums and worked with some of the biggest names in music during the 20th century, including Elvis Presley, Ray Conniff, Ferrante & Teicher, Frank Sinatra, Percy Faith, Buddy Holly, Mitch Miller, and Tony Bennett. During World War II Caiola played with the United States Marine Corps 5th Marine Division Band that also included Bob Crosby. Caiola served in the Battle of Iwo Jima as a stretcher bearer.","Alexander Emil Caiola (September 7, 1920 – November 9, 2016) was an American guitarist, composer and arranger, who spanned a variety of music genres including jazz, country, rock, and pop. He recorded over fifty albums and worked with some of the biggest names in music during the 20th century, including Elvis Presley, Ray Conniff, Ferrante & Teicher, Frank Sinatra, Percy Faith, Buddy Holly, Mitch Miller, and Tony Bennett. During World War II Caiola played with the United States Marine Corps 5th Marine Division Band that also included Bob Crosby. Caiola served in the Battle of Iwo Jima as a stretcher bearer.","Jersey City, New Jersey, U.S.",40.71,-74.0648,1920.0
70,http://dbpedia.org/resource/Al_Di_Meola,Al Di Meola,"Albert Laurence Di Meola (born July 22, 1954) is an American guitarist. Known for his works in jazz fusion and world music, he began his career as a guitarist of the group Return to Forever in 1974. Between the 1970s and 1980s, albums such as Elegant Gypsy and Friday Night in San Francisco earned him both critical and commercial success.","Albert Laurence Di Meola (born July 22, 1954) is an American guitarist. Known for his works in jazz fusion and world music, he began his career as a guitarist of the group Return to Forever in 1974. Between the 1970s and 1980s, albums such as Elegant Gypsy and Friday Night in San Francisco earned him both critical and commercial success.","Jersey City, New Jersey, U.S.",40.71,-74.0648,1954.0
74,http://dbpedia.org/resource/Al_Foster,Al Foster,"Al Foster (born January 18, 1943) is an American jazz drummer. Foster played with Miles Davis during the 1970s and was one of the few people to have contact with Davis during his retirement from 1975–1981. Foster also played on Davis's 1981 comeback album The Man with the Horn. He was the only musician to play in Davis's band both before and after his retirement. He has toured extensively with Herbie Hancock, Sonny Rollins, and Joe Henderson.","Al Foster (born January 18, 1943) is an American jazz drummer. Foster played with Miles Davis during the 1970s and was one of the few people to have contact with Davis during his retirement from 1975–1981. Foster also played on Davis's 1981 comeback album The Man with the Horn. He was the only musician to play in Davis's band both before and after his retirement. He has toured extensively with Herbie Hancock, Sonny Rollins, and Joe Henderson.","Richmond, Virginia, U.S.",37.5333,-77.4667,1943.0
75,http://dbpedia.org/resource/Al_Grey,Al Grey,"Al Grey (June 6, 1925 – March 24, 2000) was a jazz trombonist who was a member of the Count Basie orchestra. He was known for his plunger mute technique and wrote an instructional book called Plunger Techniques.","Al Grey (June 6, 1925 – March 24, 2000) was a jazz trombonist who was a member of the Count Basie orchestra. He was known for his plunger mute technique and wrote an instructional book called Plunger Techniques.","Aldie, Virginia, U.S.",38.9756,-77.6414,1925.0
76,http://dbpedia.org/resource/Al_Haig,Al Haig,"Alan Warren Haig (July 19, 1922 – November 16, 1982) was an American jazz pianist, best known as one of the pioneers of bebop.","Alan Warren Haig (July 19, 1922 – November 16, 1982) was an American jazz pianist, best known as one of the pioneers of bebop.","Newark, New Jersey, U.S.",40.7242,-74.1726,1922.0
77,http://dbpedia.org/resource/Al_Hall_(musician),Al Hall,"Alfred Wesley Hall (March 18, 1915 – January 18, 1988) was an American jazz bassist. Hall grew up in Philadelphia, where he played cello and tuba early in life before settling on bass at age 17. He moved to New York in 1936, where he played with  (1936–37), Skeets Tolbert (1937–38), and Teddy Wilson in both big band and small ensemble format (1939–41). Following time with Ellis Larkins (1942–43) and Mary Lou Williams, Hall took a job as a staff musician at CBS, working in 's orchestra on the . He also worked on Broadway theater pit orchestras for the next several decades. In 1946, he founded his own label, Wax Records, which was bought by Atlantic Records in 1949.","Alfred Wesley Hall (March 18, 1915 – January 18, 1988) was an American jazz bassist. Hall grew up in Philadelphia, where he played cello and tuba early in life before settling on bass at age 17. He moved to New York in 1936, where he played with  (1936–37), Skeets Tolbert (1937–38), and Teddy Wilson in both big band and small ensemble format (1939–41). Following time with Ellis Larkins (1942–43) and Mary Lou Williams, Hall took a job as a staff musician at CBS, working in 's orchestra on the . He also worked on Broadway theater pit orchestras for the next several decades. In 1946, he founded his own label, Wax Records, which was bought by Atlantic Records in 1949. Hall had an extended partnership with Erroll Garner, playing with him intermittently from 1945 to 1963. He also played later in life with Benny Goodman (1966), Hazel Scott, Tiny Grimes, Alberta Hunter (1977–78), and Doc Cheatham. He led five numbers on his own label in 1946-47 and four on Columbia Records Europe in 1959.","Jacksonville, Florida, U.S.",30.3369,-81.6614,1915.0
78,http://dbpedia.org/resource/Al_Hendrickson,Al Hendrickson,"Alton Reynolds Hendrickson (May 10, 1920 – July 19, 2007) was an American jazz guitarist and occasional vocalist","Alton Reynolds Hendrickson (May 10, 1920 – July 19, 2007) was an American jazz guitarist and occasional vocalist","Eastland, Texas, U.S.",32.3986,-98.8211,1920.0
79,http://dbpedia.org/resource/Al_Hibbler,Al Hibbler,"Albert George Hibbler (August 16, 1915 – April 24, 2001) was an American baritone vocalist, who sang with Duke Ellington's orchestra before having several pop hits as a solo artist. Some of Hibbler's singing is classified as rhythm and blues, but he is best seen as a bridge between R&B and traditional pop music. According to one authority, ""Hibbler cannot be regarded as a jazz singer but as an exceptionally good interpreter of twentieth-century popular songs who happened to work with some of the best jazz musicians of the time.""","Albert George Hibbler (August 16, 1915 – April 24, 2001) was an American baritone vocalist, who sang with Duke Ellington's orchestra before having several pop hits as a solo artist. Some of Hibbler's singing is classified as rhythm and blues, but he is best seen as a bridge between R&B and traditional pop music. According to one authority, ""Hibbler cannot be regarded as a jazz singer but as an exceptionally good interpreter of twentieth-century popular songs who happened to work with some of the best jazz musicians of the time.""","Tyro, Mississippi, U.S.",34.5836,-89.7053,1915.0
80,http://dbpedia.org/resource/Al_Hirt,Al Hirt,"Alois Maxwell ""Al"" Hirt (November 7, 1922 – April 27, 1999) was an American trumpeter and bandleader. He is best remembered for his million-selling recordings of ""Java"" and the accompanying album Honey in the Horn (1963), and for the theme music to The Green Hornet. His nicknames included ""Jumbo"" and ""The Round Mound of Sound"". Colin Escott, an author of musician biographies, wrote that RCA Victor Records, for which Hirt had recorded most of his best-selling recordings and for which he had spent much of his professional recording career, had dubbed him with another moniker: ""The King."" Hirt was inducted into The Louisiana Music Hall of Fame in November 2009.","Alois Maxwell ""Al"" Hirt (November 7, 1922 – April 27, 1999) was an American trumpeter and bandleader. He is best remembered for his million-selling recordings of ""Java"" and the accompanying album Honey in the Horn (1963), and for the theme music to The Green Hornet. His nicknames included ""Jumbo"" and ""The Round Mound of Sound"". Colin Escott, an author of musician biographies, wrote that RCA Victor Records, for which Hirt had recorded most of his best-selling recordings and for which he had spent much of his professional recording career, had dubbed him with another moniker: ""The King."" Hirt was inducted into The Louisiana Music Hall of Fame in November 2009.","New Orleans, Louisiana, U.S.",29.95,-90.08,1922.0
81,http://dbpedia.org/resource/Al_Hurricane,Al Hurricane,"Alberto Nelson Sanchez (July 10, 1936 – October 22, 2017), known professionally as Al Hurricane, was an American singer-songwriter, dubbed ""The Godfather"" of New Mexico music. He released more than thirty albums, and is best known for his contributions to New Mexico's unique style of Spanish music.","Alberto Nelson Sanchez (July 10, 1936 – October 22, 2017), known professionally as Al Hurricane, was an American singer-songwriter, dubbed ""The Godfather"" of New Mexico music. He released more than thirty albums, and is best known for his contributions to New Mexico's unique style of Spanish music. He received his nickname, Hurricane, from his mother. As a child, he would accidentally knock things over; the nickname became synonymous with his band, studio, and a recording label. His signature look, which included an eye-patch, was due to an automobile accident that occurred during the 1960s. These things, as well as his performance style, led to Hurricane being known for his ability to improvise and adapt. They have also led to his music and image being ultimately entangled with the history of New Mexico music. Al Hurricane was often accompanied on stage by his children, sons Al Hurricane, Jr. and Jerry Dean, and daughter Erika. He also performed frequently with his brothers Baby Gaby and Tiny Morrie. He was the subject of a tribute concert which was recorded as a set of two tribute albums, as well a DVD. He has also performed alongside Fats Domino, Marvin Gaye, Chuck Berry, Jimmy Clanton, and Chubby Checker.","Dixon, New Mexico, U.S.",36.1986,-105.889,1936.0
82,http://dbpedia.org/resource/Al_Klink,Al Klink,"Al Klink (December 28, 1915 in Danbury, Connecticut – March 7, 1991 in Bradenton, Florida) was an American swing jazz tenor saxophonist.","Al Klink (December 28, 1915 in Danbury, Connecticut – March 7, 1991 in Bradenton, Florida) was an American swing jazz tenor saxophonist.","Danbury, Connecticut, U.S.",41.4022,-73.4711,1915.0
